time_s,action,enemy_count,enemy_speed,enemy_hp,fire_rate,asteroid_count,spawn_delay,player_skill,wave
32.7,EASIER-,5,95,50,1.90,5,0.58,0.25,1
32.7,EASIER-,4,90,45,2.00,4,0.66,0.25,1
32.7,EASIER-,3,85,40,2.10,3,0.74,0.25,1
32.7,EASIER-,2,80,35,2.20,2,0.82,0.25,1
32.7,EASIER-,2,75,30,2.30,2,0.90,0.25,1
32.7,EASIER-,2,70,30,2.40,2,0.68,0.25,2
32.7,EASIER-,2,65,30,2.50,2,0.76,0.25,2
32.7,EASIER-,2,60,30,2.60,2,0.84,0.25,2
32.7,EASIER-,2,60,30,2.70,2,0.92,0.25,2
32.7,EASIER-,2,60,30,2.80,2,1.00,0.25,2
32.7,EASIER-,2,60,30,2.90,2,1.08,0.25,2
32.7,EASIER-,2,60,30,3.00,2,1.16,0.25,2
32.7,EASIER-,2,60,30,3.10,2,1.24,0.25,2
